,folioviv,foliohog,tot_integ,edad_jefe,jefe_es_hombre,alimentos,gasto_mon,transporte,ing_cor,jefe_termino_sec,tiene_auto,tasa_ahorro
85743,3160179613,1,6,79,1,21091.87,43270.9,6811.46,64669.69,1,1,0.331
85807,3160229707,1,5,67,1,16276.83,38773.83,15366.39,32632.73,1,1,-0.188
85825,3160242913,1,4,38,1,6409.17,38364.5,7104.67,53626.03,1,1,0.285
85831,3160250421,1,4,41,1,15743.4,74528.85,47687.66,58769.79,1,1,-0.268
85836,3160250503,1,4,42,1,17491.92,29683.09,4530.59,60457.61,1,1,0.509
85847,3160250814,1,5,43,1,16469.79,34957.53,6781.07,63601.18,1,1,0.45
85852,3160260002,1,2,61,1,16444.19,58950.14,11519.07,96658.48,1,1,0.39
85853,3160260003,1,4,36,1,18269.8,38820.79,7603.18,69868.31,1,1,0.444
85858,3160260208,1,4,44,1,11134.12,21659.1,3222.57,35721.28,1,1,0.394
85862,3160260518,1,2,66,1,9632.36,31380.96,7396.17,43376.31,1,1,0.277
85863,3160260520,1,2,52,0,21548.28,31330.57,5927.93,29896.9,0,1,-0.048
85864,3160260521,1,5,54,1,10696.93,20859.8,4283.25,27766.69,1,1,0.249
85878,3160264603,1,1,27,1,14618.49,24326.05,3044.26,20328.67,1,1,-0.197
85895,3160267211,1,2,38,1,16084.03,36207.02,12982.48,33934.21,1,1,-0.067
85902,3160267303,1,3,49,1,13900.93,36624.97,17991.99,28450.01,1,1,-0.287
85903,3160267304,1,3,60,1,9787.97,13901.01,3054.04,155805.04,1,1,0.911
85906,3160267718,1,5,30,1,31371.13,52920.55,8040.0,33895.49,1,1,-0.561
85918,3160268602,1,4,34,1,17845.08,37337.18,12083.6,12606.38,1,1,-1.962
85941,3160296501,1,9,82,1,17125.53,34140.71,8016.51,103578.65,0,1,0.67
85942,3160296502,1,3,59,1,15627.68,58597.37,29814.29,112315.08,1,1,0.478
85943,3160296503,1,8,57,0,13403.42,30880.99,7166.54,48999.36,0,1,0.37
85944,3160296504,1,7,60,1,19452.68,41971.28,11789.37,127236.32,1,1,0.67
85947,3160296610,1,5,95,0,10169.81,19715.98,4285.71,30681.59,0,1,0.357
85953,3160327007,1,5,36,1,17704.01,51218.73,22717.33,58500.94,1,1,0.124
85955,3160327015,1,11,63,1,33029.62,78078.6,29467.7,81727.0,0,1,0.045
85965,3160327310,1,5,39,1,5779.14,10556.33,1741.93,10708.63,1,1,0.014
85973,3160327913,1,3,38,1,10645.43,23902.78,6874.64,18079.65,1,1,-0.322
85977,3160328007,1,6,43,0,12882.75,32908.33,13319.13,77898.2,1,1,0.578
85989,3160328303,1,3,27,1,11410.56,22613.59,4052.95,35637.59,1,1,0.365
85992,3160328306,1,4,42,1,22133.18,40234.7,5321.09,27962.58,1,1,-0.439
85994,3160328720,1,5,48,1,19350.92,46780.63,16427.28,69554.33,1,1,0.327
85998,3160334506,1,4,61,1,15098.04,31879.96,3796.69,49772.14,1,1,0.359
85999,3160334507,1,4,44,1,11847.64,17236.71,2283.86,31691.42,1,1,0.456
86001,3160334509,1,6,57,1,7302.74,16207.38,2772.58,32415.14,1,1,0.5
86003,3160334611,1,10,52,0,14174.8,39471.38,13133.6,103769.44,1,1,0.62
86015,3160334819,1,4,53,1,8266.98,22297.3,7200.0,85039.71,1,1,0.738
86024,3160335307,1,11,47,0,16302.7,25637.24,4756.41,9252.12,1,1,-1.771
86025,3160335308,1,5,38,1,13943.36,18841.76,464.67,23924.59,1,1,0.212
86026,3160335309,1,4,35,1,16752.58,34588.81,11022.6,23069.81,1,1,-0.499
86027,3160335310,1,7,43,1,12934.1,32101.56,10037.41,36431.54,1,1,0.119
86071,3160361606,1,3,46,1,10745.49,18361.15,3285.24,38477.88,1,1,0.523
86117,3160415618,1,2,33,1,8781.33,22385.38,450.0,61777.48,1,1,0.638
86118,3160415701,1,4,38,1,5291.23,22722.91,11385.24,39751.59,1,1,0.428
86127,3160426416,1,6,60,1,10190.44,27490.4,6799.4,30794.82,1,1,0.107
86132,3160426606,1,5,58,1,11957.0,45940.56,23188.51,31604.24,1,1,-0.454
86155,3160429302,1,5,55,1,14515.51,36560.57,2549.99,41684.67,1,1,0.123
86196,3160440801,1,5,58,1,7186.98,19887.84,3973.76,23167.86,1,1,0.142
86199,3160440908,1,3,53,1,6286.99,8436.81,58.06,18739.57,1,1,0.55
86202,3160440911,1,6,59,1,16257.65,37619.66,3141.69,72991.56,1,1,0.485
86207,3160441322,1,2,74,1,11269.13,16014.55,0.0,22478.55,1,1,0.288
86209,3160441324,1,5,40,1,5387.0,7217.93,0.0,28207.71,1,1,0.744
86210,3160441407,1,2,70,1,12966.21,26247.6,4104.9,16732.04,0,1,-0.569
86234,3160443517,1,6,43,1,15994.19,18438.39,1335.48,32659.39,1,1,0.435
86249,3160447609,1,6,52,1,18025.43,49244.65,22610.29,82466.79,1,1,0.403
86260,3160447904,1,4,46,1,10259.81,22791.08,5162.89,22883.05,1,1,0.004
86278,3160455608,1,5,44,1,6119.92,8667.57,900.0,15615.36,1,1,0.445
86286,3160455818,1,1,38,1,4782.8,18279.65,6238.52,29467.13,1,1,0.38
86296,3160459223,1,8,49,1,12561.21,15868.81,435.48,46809.63,1,1,0.661
86301,3160459310,1,2,76,1,8787.7,17718.26,4178.74,32087.43,1,1,0.448
86302,3160459311,1,3,32,1,8556.26,13369.38,1111.31,14649.31,1,1,0.087
86305,3160459903,1,5,38,1,11423.4,19600.76,4474.48,54726.23,1,1,0.642
86312,3160465014,1,4,30,1,48304.1,114431.28,5693.32,42340.37,1,1,-1.703
86326,3160465321,1,5,40,1,11596.96,20154.45,1470.96,28415.77,1,1,0.291
86329,3160465716,1,1,27,1,11417.04,17151.79,0.0,31422.47,1,1,0.454
86333,3160473013,1,6,56,1,13614.19,28384.06,5903.22,58514.86,1,1,0.515
86336,3160473202,1,4,55,0,11159.66,17493.27,1590.0,23288.95,1,1,0.249
86343,3160473711,1,2,31,1,23988.61,93191.87,20075.69,102328.64,1,1,0.089
86359,3160476525,1,5,39,1,17890.44,23224.2,1330.64,53302.25,1,1,0.564
86360,3160476602,1,7,78,1,19793.32,28149.6,908.57,35507.8,0,1,0.207
86362,3160476610,1,3,39,1,6184.15,13520.04,5337.35,46873.89,1,1,0.712
86365,3160476622,1,4,29,1,14335.49,26653.03,2130.0,35634.5,1,1,0.252
86377,3160478314,1,4,43,1,13493.43,27985.23,9111.28,52517.8,1,1,0.467
86382,3160478403,1,4,38,1,10967.01,85583.09,63100.7,47821.21,1,1,-0.79
86401,3160487621,1,4,45,1,28420.35,73985.15,9286.71,32420.62,1,1,-1.282
86403,3160487806,1,1,60,1,5570.9,54874.54,960.0,27649.49,1,1,-0.985
86421,3160498216,1,5,52,0,18501.19,42120.51,4887.09,95150.42,1,1,0.557
86425,3160498322,1,3,56,1,17178.19,35749.08,4943.36,53197.34,1,1,0.328
86431,3160498921,1,2,59,0,6942.74,10775.17,2032.25,26359.82,1,1,0.591
86480,3160506413,1,5,44,1,15582.59,62392.16,11592.11,102129.6,1,1,0.389
86484,3160506417,1,4,69,1,17511.25,25903.3,580.64,37195.57,1,1,0.304
86487,3160506602,1,4,70,1,8761.94,19481.99,1650.0,25565.78,1,1,0.238
86489,3160506604,1,3,52,1,14245.56,28105.8,3532.82,29380.38,1,1,0.043
86492,3160506808,1,5,59,1,9822.67,26624.09,3300.0,34987.78,1,1,0.239
86496,3160506812,1,5,37,0,16656.28,34276.83,7140.0,124237.79,1,1,0.724
86502,3200003701,1,9,57,1,27205.42,62974.94,13063.77,231361.63,1,1,0.728
86504,3200003705,1,3,63,0,10324.12,37413.7,21953.11,39254.79,1,1,0.047
86506,3200008501,1,5,49,1,12304.11,30028.38,8898.61,36932.48,1,1,0.187
86511,3200014601,1,2,34,0,6454.25,31933.67,6021.34,26537.4,1,1,-0.203
86514,3200014605,1,3,77,0,19394.72,53671.52,12867.0,63585.2,1,1,0.156
86515,3200016801,1,2,69,1,11224.12,35826.32,10440.0,50361.33,1,1,0.289
86518,3200016805,1,5,42,1,28876.76,47678.69,5100.0,66211.44,1,1,0.28
86524,3200024406,1,5,38,1,17977.33,42941.1,14605.27,117218.12,1,1,0.634
86525,3200037901,1,2,40,1,8022.85,24067.97,8187.09,74742.27,1,1,0.678
86527,3200037904,1,5,74,0,13461.22,62472.54,9706.45,149563.44,1,1,0.582
86530,3200056302,1,5,50,0,9539.91,26864.29,7404.2,92350.95,1,1,0.709
86533,3200056306,1,3,33,0,16289.88,42603.39,7018.05,41732.59,1,1,-0.021
86539,3200064202,1,3,55,1,11764.13,20923.93,3232.25,21655.33,1,1,0.034
86542,3200064205,1,7,87,1,13988.41,21137.74,1950.0,28840.49,1,1,0.267
86545,3200065702,1,3,23,0,22769.79,48772.32,3600.0,29300.91,1,1,-0.665
86546,3200065703,1,4,53,1,8575.6,20182.05,3035.57,25952.43,1,1,0.222
86547,3200065704,1,3,43,0,6981.4,31809.11,15683.6,21580.32,1,1,-0.474
86550,3200078502,1,5,35,1,14284.06,26495.82,3503.22,37615.69,1,1,0.296
86553,3200078505,1,2,54,0,5284.16,11639.47,540.0,23651.01,1,1,0.508
86555,3200081602,1,4,58,0,6672.77,20552.94,4500.0,90408.32,1,1,0.773
86557,3200081604,1,12,74,1,10851.27,53704.23,10935.0,89223.28,1,1,0.398
86559,3200081606,1,4,60,1,37709.78,71125.99,12006.71,144289.17,1,1,0.507
86561,3200084802,1,3,49,1,21985.67,56064.74,11835.0,89947.27,1,1,0.377
86564,3200084806,1,8,68,0,3818.54,14901.04,3300.0,28918.02,1,1,0.485
86565,3200087401,1,1,57,0,11198.45,55290.96,19264.27,58752.54,1,1,0.059
86566,3200087402,1,3,50,0,27424.13,69049.96,6259.04,200305.78,1,1,0.655
86577,3200140302,1,6,60,1,16495.54,88216.88,25493.67,81874.16,1,1,-0.077
86579,3200140304,1,3,39,0,40409.84,238075.11,144893.92,87735.75,1,1,-1.714
86580,3200140305,1,3,44,1,9124.57,17198.51,1433.32,38950.11,1,1,0.558
86583,3200145801,1,7,45,0,11455.65,53441.62,15137.14,73424.21,1,1,0.272
86592,3200153401,1,4,67,1,13369.4,60810.81,10003.58,128759.62,1,1,0.528
86593,3200153402,1,2,34,1,21575.51,102736.62,15184.44,323601.54,1,1,0.683
86598,3200169203,1,3,58,1,17022.66,76684.25,14959.34,117041.44,1,1,0.345
86599,3200169204,1,4,63,1,5078.45,16271.37,3433.24,35459.17,1,1,0.541
86605,3200170705,1,4,23,1,15942.8,209742.94,141148.03,68805.63,1,1,-2.048
86607,3200175503,1,7,62,1,11494.02,28030.97,870.96,33718.79,1,1,0.169
86610,3200186602,1,3,57,1,12124.19,54360.28,13167.0,122844.67,1,1,0.557
86611,3200186603,1,3,53,1,5451.29,30339.29,6567.0,42363.76,1,1,0.284
86613,3200190802,1,3,44,1,11590.53,21877.53,4200.0,46567.42,1,1,0.53
86614,3200190803,1,4,25,1,6647.03,15065.89,1800.0,43693.64,1,1,0.655
86619,3200195404,1,3,72,0,12133.11,32199.09,4360.54,77359.35,1,1,0.584
86622,3200201902,1,3,56,1,9257.0,24048.84,7681.93,52731.4,1,1,0.544
86624,3200201904,1,4,56,1,12136.99,27094.22,6765.89,76709.9,1,1,0.647
86628,3200210902,1,4,30,1,13557.57,33103.87,3458.87,32810.86,1,1,-0.009
86629,3200210904,1,4,52,1,22319.81,63756.79,23945.02,103877.09,1,1,0.386
